DATES,TIMES,FlOW,NO3N,NH4N,ORTHO,CL,SO4S,SIO2,HCO3,NA,K,CA,MG,TKN,S 
1983/09/02,09:47,0.47 ,4.60,,,,,,,,,,,,
1983/09/06,09:13,0.38 ,4.20,,,,,,,,,,,,
1983/09/12,09:06,0.27 ,3.25,,,,,,,,,,,,
1983/09/14,09:14,0.34 ,3.50,,,,,,,,,,,,
1983/09/16,10:28,0.27 ,3.40,,,,,,,,,,,,
1983/09/19,10:10,0.26 ,3.00,,,,,,,,,,,,
1983/09/21,08:52,0.23 ,2.70,,,,,,,,,,,,
1983/09/26,10:50,0.33 ,3.90,,,,,,,,,,,,
1983/09/28,08:07,0.29 ,3.50,,,,,,,,,,,,
1983/09/30,09:35,0.27 ,3.40,,,,,,,,,,,,
1983/10/03,10:43,0.34 ,3.40,,,,,,,,,,,,
1983/10/05,08:28,0.31 ,3.10,,,,,,,,,,,,
1983/10/14,10:15,0.99 ,4.50,0.180 ,,,,,,,,,,,
1983/10/17,10:08,0.55 ,5.20,,,,,,,,,,,,
1983/10/19,08:32,2.09 ,4.00,,,,,,,,,,,,
1983/10/21,08:42,0.96 ,7.90,,,,,,,,,,,,
1983/10/26,08:42,2.31 ,10.20,,,,,,,,,,,,
1983/10/28,09:33,1.30 ,12.20,,,,,,,,,,,,
1983/10/31,09:45,0.79 ,8.60,,,,,,,,,,,,
1983/11/02,09:34,0.70 ,7.80,,,,,,,,,,,,
1983/11/04,10:21,0.67 ,7.90,,,,,,,,,,,,
1983/11/07,10:23,0.57 ,7.10,,,,,,,,,,,,
1983/11/09,09:23,0.49 ,6.70,,,,,,,,,,,,
1983/11/14,12:00,2.31 ,12.10,,,,,,,,,,,,
1983/11/16,09:10,18.50 ,11.90,,,,,,,,,,,,
1983/11/18,09:50,5.24 ,13.70,,,,,,,,,,,,
1983/11/21,11:33,7.78 ,9.80,,,,,,,,,,,,
1983/11/23,11:41,4.86 ,12.70,,,,,,,,,,,,
1983/12/02,09:14,4.96 ,10.40,,,,,,,,,,,,
1983/12/05,10:54,10.94 ,10.30,,,,,,,,,,,,
1983/12/07,09:38,21.74 ,,,,,,,,,,,,,
1983/12/09,11:11,8.58 ,9.70,,,,,,,,,,,,
1983/12/12,11:20,4.96 ,7.80,,,,,,,,,,,,
1983/12/14,11:36,72.82 ,7.90,,,,,,,,,,,,
1983/12/16,15:43,13.68 ,7.50,,,,,,,,,,,,
1983/12/19,10:45,7.03 ,7.10,,,,,,,,,,,,
1983/12/21,10:53,4.16 ,6.40,,,,,,,,,,,,
1983/12/23,10:43,7.03 ,6.74,,,,,,,,,,,,
1983/12/28,14:10,3.15 ,6.00,,,,,,,,,,,,
1983/12/30,10:10,3.30 ,5.00,,,,,,,,,,,,
1984/01/03,14:13,2.02 ,4.70,,,,,,,,,,,,
1984/01/06,09:27,1.92 ,5.40,,,,,,,,,,,,
1984/01/09,10:49,1.76 ,5.20,,,,,,,,,,,,
1984/01/11,10:02,1.48 ,5.40,,,,,,,,,,,,
1984/01/13,11:15,1.06 ,5.00,,,,,,,,,,,,
1984/01/16,10:56,0.99 ,5.40,,,,,,,,,,,,
1984/01/18,09:56,0.92 ,5.00,,,,,,,,,,,,
1984/01/20,10:38,0.73 ,5.20,,,,,,,,,,,,
1984/01/23,10:20,0.59 ,4.80,,,,,,,,,,,,
1984/01/25,11:54,4.08 ,3.70,,,,,,,,,,,,
1984/01/27,10:48,2.37 ,4.60,,,,,,,,,,,,
1984/01/30,10:23,1.71 ,3.60,,,,,,,,,,,,
1984/02/01,13:33,2.08 ,3.00,,,,,,,,,,,,
1984/02/03,13:03,2.68 ,3.00,,,,,,,,,,,,
1984/02/06,10:45,2.37 ,3.20,,,,,,,,,,,,
